,Artist,Song Title,Year
821,Gene Mcdaniels,A Hundred Pounds Of Clay,1961
822,Dick and Deedee,The Mountain's High,1961
823,Marty Robbins,Don't Worry,1961
824,Floyd Cramer,On The Rebound,1961
825,Steve Lawrence,Portrait Of My Love,1961
826,"Gary ""U.S."" Bonds",Quarter To Three,1961
827,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1961
828,Neil Sedaka,Calendar Girl,1961
829,Chris Kenner,I Like It Like That,1961
830,Jorgen Ingmann,Apache,1961
831,Linda Scott,Don't Bet Money Honey,1961
832,Johnny Tillotson,Without You,1961
833,Ferlin Husky,Wings Of A Dove,1961
834,Elvis Presley,Little Sister,1961
835,Marcels,Blue Moon,1961
836,Shep and The Limelites,Daddy's Home,1961
837,Troy Shondell,This Time,1961
838,"Clarence ""Frog Man"" Henry",I Don't Know Why But I Do,1961
839,Kokomo,Asia Minor,1961
840,Faron Young,Hello Walls,1961
841,Dion,Runaround Sue,1961
842,Arthur Lyman,Yellow Bird,1961
843,Timi Yuro,Hurt,1961
844,Ricky Nelson,Hello Mary Lou,1961
845,Capris,There's A Moon Out Tonight,1961
846,Elvis Presley,Surrender,1961
847,Paris Sisters,I Love How You Love Me,1961
848,Lee Dorsey,Ya Ya,1961
849,"Gary ""U.S."" Bonds",School Is Out,1961
850,Bob Moore,Mexico,1961
851,Ral Donner,You Don't Know What You've Got (Until You Lose It),1961
852,Everly Brothers,Walk Right Back,1961
853,Lettermen,The Way You Look Tonight,1961
854,Pat Boone,Moody River,1961
855,Ray Charles,One Mint Julep,1961
856,Adam Wade,Take Good Care Of Her,1961
857,Carla Thomas,Gee Whiz (Look At His Eyes),1961
858,Ben E. King,Stand By Me,1961
859,Ben E. King,Spanish Harlem,1961
860,Ike and Tina Turner,It's Gonna Work Out Fine,1961
861,Echoes,Baby Blue,1961
862,Buzz Clifford,Baby Sittin' Boogie,1961
863,Del Shannon,Hats Off To Larry,1961
864,Caesar and The Romans,Those Oldies But Goodies,1961
865,Chubby Checker,The Fly,1961
866,Elvis Presley,(Marie's The Name) His Latest Flame,1961
867,Bert Kaempfert and His Orch.,Wonderland By Night,1961
868,Tony Orlando,Bless You,1961
869,Linda Scott,I've Told Every Little Star,1961
870,Bobby Lewis,One Track Mind,1961
871,Rosie and The Originals,Angel Baby,1961
872,Curtis Lee,Pretty Little Angel Eyes,1961
873,Brook Benton,Think Twice,1961
874,Lonnie Donegan,Does Your Chewing Gum Lose Its Flavor (On The Bedpost Overnight),1961
875,Connie Francis,Breakin' In A Brand New Broken Heart,1961
876,Shirelles,Mama Said,1961
877,Fats Domino,Let The Four Winds Blow,1961
878,Adam Wade,The Writing On The Wall,1961
879,Matt Monroe,My Kind Of Girl,1961
880,Paul Anka,"Tonight My Love, Tonight",1961
881,Jimmy Dean,Big Bad John,1961
882,Bobby Rydell,Good Time Baby,1961
883,Floyd Cramer,San Antonio Rose,1961
884,Bobby Vee,Rubber Ball,1961
885,Ray Peterson,Missing You,1961
886,Brenda Lee,Dum Dum,1961
887,Eddie Hodges,I'm Gonna Knock On Your Door,1961
888,Brenda Lee,You Can Depend On Me,1961
889,Chubby Checker,Let's Twist Again,1961
890,Dave Brubeck,Take Five,1961
891,Elvis Presley,Are You Lonesome Tonight,1961
892,Don Gibson,Sea Of Heartbreak,1961
893,Four Preps,More Money For You And Me Medley,1961
894,Bobby Darin,You Must Have Been A Beautiful Baby,1961
895,Drifters,Please Stay,1961
896,Mr. Acker Bilk,Stranger On The Shore,1962
897,Ray Charles,I Can't Stop Loving You,1962
898,Dee Dee Sharp,Mashed Potato Time,1962
899,Bobby Vinton,Roses Are Red (My Love),1962
900,David Rose,The Stripper,1962
901,Shelley Fabares,Johnny Angel,1962
902,Little Eva,The Loco-Motion,1962
903,Sensations,Let Me In,1962
904,Chubby Checker,The Twist,1962
905,Shirelles,Soldier Boy,1962
906,Bruce Channel,Hey! Baby,1962
907,Dion,The Wanderer,1962
908,Gene Chandler,Duke Of Earl,1962
909,Freddy Cannon,Palisades Park,1962
910,Neil Sedaka,Breaking Up Is Hard To Do,1962
911,Claude King,Wolverton Mountain,1962
912,Chubby Checker,Slow Twistin',1962
913,Johnny Tillotson,It Keeps Right On a-Hurtin',1962
914,Mary Wells,The One Who Really Loves You,1962
915,Elvis Presley,Good Luck Charm,1962
916,Kenny Ball,Midnight In Moscow,1962
917,Tommy Roe,Sheila,1962
918,Sam Cooke,Twistin' The Night Away,1962
919,Orlons,Wah-Watusi,1962
920,Joey Dee and The Starlighters,Peppermint Twist,1962
921,Brenda Lee,Break It To Me Gently,1962
922,Marvelettes,Playboy,1962
923,Nat King Cole,Ramblin' Rose,1962
924,Brian Hyland,Sealed With A Kiss,1962
925,Jay and The Americans,She Cried,1962
926,Connie Francis,Don't Break The Heart That Loves You,1962
927,Gary U.S. Bonds,Dear Lady Twist,1962
928,Sue Thompson,Norman,1962
929,Ketty Lester,Love Letters,1962
930,Claudine Clark,Party Lights,1962
931,Highwaymen,Cotton Fields,1962
932,Bent Fabric,Alley Cat,1962
933,Isley Brothers,Twist And Shout,1962
934,Richard Chamberlain,Theme From Dr. Kildare,1962
935,Ace Cannon,Tuff,1962
936,Clyde Mcphatter,"Lover, Please",1962
937,Barbara George,I Know,1962
938,Rick Nelson,Young World,1962
939,Shirelles,Baby It's You,1962
940,Pat Boone,Speedy Gonzales,1962
941,Burl Ives,A Little Bitty Tear,1962
942,Everly Brothers,Crying In The Rain,1962
943,Emillo Pericoli,Al Di La',1962
944,Ernie Maresca,Shout! Shout! (Knock Yourself Out),1962
945,Don and Juan,What's Your Name,1962
946,Corsairs,Smoky Places,1962
947,Sam Cooke,Having A Party,1962
948,Booker T and The MG's,Green Onions,1962
949,Ray Charles,You Don't Know Me,1962
950,Four Seasons,Sherry,1962
951,Joanie Sommers,Johnny Get Angry,1962
952,Elvis Presley,Can't Help Falling In Love,1962
953,Joey Dee,Shout,1962
954,"Dave ""Baby"" Cortez",Rinky Dink,1962
955,Henry Mancini,Moon River,1962
956,Ray Stevens,Ahab The Arab,1962
957,Bobby Darin,Things,1962
958,Gene Pitney,The Man Who Shot Liberty Valance,1962
959,Duprees,You Belong To Me,1962
960,Roy Orbison,Dream Baby,1962
961,Joe Henderson,Snap Your Fingers,1962
962,Dion,Lovers Who Wander,1962
963,Chris Montez,Let's Dance,1962
964,Johnny Crawford,Cindy's Birthday,1962
965,Mary Wells,You Beat Me To The Punch,1962
966,Barbara Lynn,You'll Lose A Good Thing,1962
967,Crystals,Uptown,1962
968,Brenda Lee,Everybody Loves Me But You,1962
969,Dickie Lee,Patches,1962
970,Jimmy Clanton,Venus In Blue Jeans,1962
971,Paul Anka,Love Me Warm And Tender,1962
972,Rick Nelson,Teen Age Idol,1962
973,Patsy Cline,She's Got You,1962
974,Larry Finnegan,Dear One,1962
975,James Darren,Her Royal Majesty,1962
976,Walter Brennan,Old Rivers,1962
977,Burl Ives,Funny Way Of Laughin',1962
978,Billy Vaughn,A Swingin' Safari,1962
979,Dick and Deedee,Tell Me,1962
980,Jimmy Dean,P.T. 109,1962
981,Dion,Little Diane,1962
982,Billy Joe and The Checkmates,Percolator (Twist),1962
983,Gary U.S. Bonds,"Twist, Twist Senora",1962
984,Jimmy Soul,Twistin' Matilda,1962
985,Dee Dee Sharp,Gravy,1962
986,Jimmy Smith,Walk On The Wild Side,1962
987,King Curtis,Soul Twist,1962
988,Bobby Rydell,I'll Never Dance Again,1962
989,Ikettes,I'm Blue,1962
990,Kingston Trio,Where Have All The Flowers Gone,1962
991,Eddie Hodges,"(Girls, Girls, Girls) Were Made To Love",1962
992,Gene Pitney,Town Without Pity,1962
993,"Peter, Paul and Mary",If I Had A Hammer,1962
994,Ronnie and The Hi-lites,I Wish That We Were Married,1962
995,Beach Boys,Surfin' Safari,1962
996,Jimmy Gilmer and The Fireballs,Sugar Shack,1963
997,Beach Boys,Surfin' U.S.A.,1963
998,Skeeter Davis,The End Of The World,1963
999,Cascades,Rhythm Of The Rain,1963
1000,Chiffons,He's So Fine,1963
1001,Bobby Vinton,Blue Velvet,1963
1002,Paul and Paula,Hey Paula,1963
1003,Little Stevie Wonder,Fingertips II,1963
1004,Village Stompers,Washington Square,1963
1005,Impressions,It's All Right,1963
1006,Andy Williams,Can't Get Used To Losing You,1963
1007,Angels,My Boyfriend's Back,1963
1008,Kyu Sakamoto,Sukiyaki,1963
1009,Lesley Gore,She's A Fool,1963
1010,Tymes,So Much In Love,1963
1011,"Peter, Paul and Mary",Puff (The Magic Dragon),1963
1012,"Peter, Paul and Mary",Blowin' In The Wind,1963
1013,Dale and Grace,I'm Leaving It Up To You,1963
1014,Nino Tempo and April Stevens,Deep Purple,1963
1015,Surfaris,Wipe Out,1963
1016,Al Martino,I Love You Because,1963
1017,Rebels,Wild Weekend,1963
1018,Bobby Darin,You're The Reason I'm Living,1963
1019,Four Seasons,Walk Like A Man,1963
1020,Inez Foxx,Mockingbird,1963
1021,Little Peggy March,I Will Follow Him,1963
1022,Chantays,Pipeline,1963
1023,Jan and Dean,Surf City,1963
1024,Lesley Gore,It's My Party,1963
1025,Eydie Gorme,Blame It On The Bossa Nova,1963
1026,Dovells,You Can't Sit Down,1963
1027,Martha and The Vandellas,Heat Wave,1963
1028,Randy and The Rainbows,Denise,1963
1029,Rooftop Singers,Walk Right In,1963
1030,Jimmy Soul,If You Wanna Be Happy,1963
1031,Beach Boys,Surfer Girl,1963
1032,Trini Lopez,If I Had A Hammer,1963
1033,Tommy Roe,Everybody,1963
1034,Essex,Easier Said Than Done,1963
1035,Dion,Ruby Baby,1963
1036,Los Indios Tabajaras,Maria Elena,1963
1037,Ruby and The Romantics,Our Day Will Come,1963
1038,Skeeter Davis,I Can't Stay Mad At You,1963
1039,Barbara Lewis,"Hello, Stranger",1963
1040,Ronettes,Be My Baby,1963
1041,Roy Orbison,Mean Woman Blues,1963
1042,Orlons,South Street,1963
1043,Henry Mancini,Days Of Wine And Roses,1963
1044,Major Lance,The Monkey Time,1963
1045,Four Seasons,Candy Girl,1963
1046,Bill Anderson,Still,1963
1047,Bobby Vinton,Blue On Blue,1963
1048,Garnet Mimms and The Enchanters,Cry Baby,1963
1049,Lou Christie,Two Faces Have I,1963
1050,Ray Charles,Busted,1963
1051,Crystals,Da Doo Ron Ron,1963
1052,Shirelles,Foolish Little Girl,1963
1053,Lonnie Mack,Memphis,1963
1054,Roy Orbison,In Dreams,1963
1055,Kai Winding,More,1963
1056,Rick Nelson,Fools Rush In,1963
1057,Brenda Lee,Losing You,1963
1058,Bill Pursell,Our Winter Love,1963
1059,Tony Bennett,I Wanna Be Around,1963
1060,Miracles,You've Really Got A Hold On Me,1963
1061,Jaynetts,Sally Go 'Round The Roses,1963
1062,Sam Cooke,Little Red Rooster,1963
1063,Crystals,Then He Kissed Me,1963
1064,Elvis Presley,(You're The) Devil In Disguise,1963
1065,Nat King Cole,Those Lazy Hazy Crazy Days Of Summer,1963
1066,Jackie Wilson,Baby Workout,1963
1067,Marvin Gaye,Pride And Joy,1963
1068,Rufus Thomas,Walking The Dog,1963
1069,Ned Miller,From A Jack To A King,1963
1070,Drifters,Up On The Roof,1963
1071,Johnny Mathis,What Will My Mary Say,1963
1072,Jan Bradley,Mama Didn't Lie,1963
1073,Bobby Vee,The Night Has A Thousand Eyes,1963
1074,Cookies,Don't Say Nothin' Bad About My Baby,1963
1075,Johnny Cash,Ring Of Fire,1963
1076,Doris Troy,Just One Look,1963
1077,Allan Sherman,"Hello Muddah, Hello Fadduh! (A Letter From Camp)",1963
1078,Lesley Gore,Judy's Turn To Cry,1963
1079,Rolf Harris,"Tie Me Kangaroo Down, Sport",1963
1080,Miracles,Mickey's Monkey,1963
1081,Dion,"Donna, The Prima Donna",1963
1082,Nat King Cole,"That Sunday, That Summer",1963
1083,Sam Cooke,Another Saturday Night,1963
1084,Al Martino,"Painted, Tainted Rose",1963
1085,Dixiebelles With Cornbread and Jerry,(Down At) Papa Joe's,1963
1086,Steve Lawrence,Go Away Little Girl,1963
1087,Ray Charles,Take These Chains From My Heart,1963
1088,Sunny and The Sunglows,Talk To Me,1963
1089,Martha and The Vandellas,Come And Get These Memories,1963
1090,Elvis Presley,Bossa Nova Baby,1963
1091,Dee Dee Sharp,Do The Bird,1963
1092,Beach Boys,Shut Down,1963
1093,Chiffons,One Fine Day,1963
1094,Bobby Bare,500 Miles Away From Home,1963
1095,Del Shannon,Little Town Flirt,1963
1096,Beatles,I Want To Hold Your Hand,1964
1097,Beatles,She Loves You,1964
1098,Louis Armstrong,"Hello, Dolly!",1964
1099,Roy Orbison,"Oh, Pretty Woman",1964
1100,Beach Boys,I Get Around,1964
1101,Dean Martin,Everybody Loves Somebody,1964
1102,Mary Wells,My Guy,1964
1103,Gale Garnett,We'll Sing In The Sunshine,1964
1104,J. Frank Wilson and The Cavaliers,Last Kiss,1964
1105,Supremes,Where Did Our Love Go,1964
1106,Barbara Streisand,People,1964
1107,Al Hirt,Java,1964
1108,Beatles,A Hard Day's Night,1964
1109,Beatles,Love Me Do,1964
1110,Manfred Mann,Do Wah Diddy Diddy,1964
1111,Beatles,Please Please Me,1964
1112,Martha and The Vandellas,Dancing In The Street,1964
1113,Billy J. Kramer and The Dakotas,Little Children,1964
1114,Ray Charles Singers,Love Me With All Your Heart,1964
